X,Y,Z,__index,__rangexy,return_idx,num_returns,reflectance,elongation,Normal change rate (1),Number of neighbors (r=1),Surface density (r=1),Eigenentropy (1),Anisotropy (1),Planarity (1),Linearity (1),Surface variation (1),Sphericity (1),Verticality (1),3rd eigenvalue (1),Noise
2.61199999,3.18600011,-0.81300002,8260.000000,4.119000,0.000000,1.000000,47.000000,14.000000,0.021801,3141.000000,999.811340,0.464892,0.972415,0.210126,0.762289,0.021801,0.027585,0.131469,0.004864,1.000000
1.99399996,1.98500001,-0.48699999,8349.000000,2.813000,0.000000,2.000000,92.000000,7.000000,0.145843,34.000000,10.822536,0.721614,0.724654,0.337264,0.387390,0.145843,0.275345,0.104671,0.052516,1.000000
3.81100011,2.65499997,-0.80199999,8540.000000,4.644000,0.000000,1.000000,194.000000,12.000000,0.013983,6943.000000,2210.025391,0.682343,0.978343,0.505505,0.472838,0.013983,0.021657,0.060016,0.006404,1.000000
3.81200004,2.63599992,-0.80199999,8544.000000,4.634000,0.000000,1.000000,202.000000,13.000000,0.013584,6916.000000,2201.431152,0.680649,0.979025,0.502153,0.476872,0.013584,0.020975,0.059688,0.006206,1.000000
3.33500004,1.26900005,-0.86100000,8810.000000,3.568000,0.000000,1.000000,212.000000,13.000000,0.018569,5084.000000,1618.287476,0.566511,0.975724,0.258811,0.716913,0.018569,0.024276,0.038621,0.006108,1.000000
3.29299998,0.63300002,-0.84100002,8998.000000,3.353000,0.000000,1.000000,186.000000,12.000000,0.023522,5354.000000,1704.231079,0.548225,0.967572,0.313774,0.653798,0.023522,0.032428,0.044564,0.006705,1.000000
2.19499993,0.28200001,-0.46599999,9065.000000,2.213000,0.000000,2.000000,8.000000,2.000000,0.122337,67.000000,21.326761,0.678661,0.808516,0.182246,0.626270,0.122337,0.191484,0.053462,0.043000,1.000000
2.09599996,0.19499999,-0.49100000,9100.000000,2.105000,0.000000,2.000000,25.000000,4.000000,0.117099,61.000000,19.416903,0.691411,0.814031,0.216204,0.597827,0.117099,0.185969,0.062330,0.042561,1.000000
3.67700005,-0.03400000,-0.76700002,9213.000000,3.677000,0.000000,1.000000,176.000000,13.000000,0.010600,7980.000000,2540.112793,0.642882,0.984787,0.404762,0.580024,0.010600,0.015213,0.062842,0.004483,1.000000
2.60899997,-0.03400000,-0.54900002,9217.000000,2.609000,0.000000,1.000000,176.000000,12.000000,0.071519,618.000000,196.715500,0.565491,0.866250,0.602622,0.263628,0.071519,0.133750,0.228196,0.017675,1.000000
